;id;author_id;created_at;lang;text;classific;score
39;13;4.615.245.548;2022-06-18 21:23:48+00:00;pt;"Será que ela não entende que as consequência do assalto do PT é um grande responsável pela situação da Petrobras, milhares de empresas fechadas só em SP, 14 milhões de desempregados deixaram o país. Isso sem pandemia e sem guerra.;;;";positivo;0.9000000000000002
40;14;5.610.017.141;2022-06-18 21:23:46+00:00;pt;"Imagina só que tem gente que tem medo de tomar vacina pq diz que tem chip da China, mas não tem medo de dar todos seus dados genéticos para uma empresa qualquer https://t.co/IUEqC2yxX5;;;";positivo;0.9833442730554617
41;15;611.484.265.130.275.000.000;2022-06-18 21:23:46+00:00;pt;"É inútil discutir com quem acredita que a China estava implantando chip com a vacina e que remédio de verme mata vírus.;;;";positivo;0.846398305084746
42;16;711.407.048;2022-06-18 21:23:45+00:00;pt;"RT @PedroRonchi2: Não percam tempo discutindo com bolsonaristas, foquem nas pessoas que tem cérebro. Lembrem-se que eles acreditaram que a…;;;";positivo;0.7000000000000001
47;17;527.687.919;2022-06-19 21:23:54+00:00;pt;"Oi? É chato mas o empregador Estado em Portugal não despede ninguém porque engravidou ou derivados. A escola pública formou milhares de portugueses. Quando precisámos, numa pandemia, recorremos todos ao SNS. O meu sonho é um doente com tratamento caro ser tratado de borla https://t.co/JrFvkhctiD;;;";positivo;0.749999999999999
48;18;5.434.140.871;2022-06-19 21:23:48+00:00;pt;"@chico_psol Fazendo + 1 ""motociata"" patética, sem capacete viu @policiafederal, justamente no Amazonas onde Dom e Bruno foram assassinados 🤦🏽😢 O país com combustível a preço de dólar, milhões de famintos e 670k mortes por covid. Ele está c";negativo;0.25
49;19;6.628.239.201;2022-06-19 21:23:46+00:00;pt;"@mineiro1brasil @HugoVelasques74 Fui pra escola bíblica de manhã, mas agora vou não, muita tosse eu e esposa, na minha rua metade das pessoas tá com covid.;;;";positivo;0.9705882352941161
50;20;7.915.194.478;2022-06-19 21:23:45+00:00;pt;"RT @LucianoHangBr: Felipe Neto pega Covid pela 3ª vez e Osmar Terra alfineta: ""2 anos de isolamento"" https://t.co/Qb72eSs6U6;;;";negativo;0.375
55;21;6.746.645.878;2022-06-20 21:23:46+00:00;pt;@ibs94 @em_com Não houve injustiça, trabalhei com os dados do vídeo em questão com os de hoje para argumentar que se o Eduardo questionava o preço daquela época, porque estamos pior ainda? Está mais caro do que na época comentada por ele, mesmo le;negativo;0.25
57;22;8.614.450.961;2022-06-20 21:23:44+00:00;pt;"Não deixe sua proteção de lado, Vacine-se! Foram mais de 500 milhões de doses de vacinas distribuídas e vamos continuar aplicando. Fique atento às doses de reforço e complete seu esquema vacinal. Em caso de sintomas, faça o teste.;;;";positivo;0.6926531770045385
58;23; - ; - ;pt;"Para saber mais, acesse https://t.co/AUjx20ugPy https://t.co/BMaR9EpEu0"";;;";positivo;0.6249999999999998
59;24;9.236.129.904;2022-06-20 21:23:43+00:00;pt;"@MTSacra @CFDanniel @g1 Nada era p Covid, a doença nunca tinha sido ouvida antes! Então valia tudo p quem iria morrer! Afinal não é fácil só ficar esperando por uma vacinada q era dose única e virou 4 doses!;;;";positivo;0.7104187946884577
68;25; - ; - ;pt;"Um novo estudo realizado pela Universidade do Colorado, conduzido por vários médicos descobriu…"";;;";negativo;0.125
70;26;4.214.741.007;2022-06-21 21:23:51+00:00;pt;"Bicho só foi tirar essas máscaras que já tô na terceira crise gripal no ano mas que inferno. Passei 2 anos de pandemia, peguei nada no olho do furacão;;;";negativo;0.2777777777777777
71;27;481.254.077.833.741.000.000;2022-06-21 21:23:50+00:00;pt;"RT @OsmarTerra: E Serrana? O município vitrine da vacinação em massa com a  Coronavac… case do Butantan… vacinou quase toda a população em…;;;";negativo;0.23828124999999978
72;28;5.049.678.519;2022-06-21 21:23:50+00:00;pt;"@jooaopedro12 melhoras mano, e va fazer o teste de covid, há 2 meses atras eu tava assim e era covid;;;";positivo;0.8857615894039731
79;29;2.710.646.646;2022-06-22 21:23:52+00:00;pt;@lksolveig @lasiermartins Se viu que coisa mulher, os caras financiam tratores, trocam dinheiro do mec poe ouro, negocia vacina com empresa fantasma, cria orçamento secreto, tudo isso sem haver nenhuma fiscalização, tudo por fora da lei ! Que doideira ;negativo;0.16666666666666688
81;30;3.413.726.353;2022-06-22 21:23:51+00:00;pt;"RT @randolfeap: Nossa luta em defesa da VIDA continua! ;;;";negativo;0.2499999999999997
83;31;3.813.719.552;2022-06-22 21:23:51+00:00;pt;"RT @randolfeap: Nossa luta em defesa da VIDA continua! ;;;";negativo;0.2499999999999997
85;32;501.432.732.865.570.000.000;2022-06-22 21:23:49+00:00;pt;"@Tali_Mito22 Marina Silva com COVID;;;";positivo;0.9000000000000002
86;33;5.637.531.846;2022-06-22 21:23:48+00:00;pt;"@AndradeRNegro2 Semana passada ela me pegou. Sintomas leves, tudo muito tranquilo, devido as 4 doses de vacina. Ainda sem saber como me contaminei.;;;";positivo;0.7065217391304341
88;34;8.411.286.117;2022-06-22 21:23:45+00:00;pt;"RT @randolfeap: Nossa luta em defesa da VIDA continua! ;;;";negativo;0.2499999999999997
94;35;3.014.863.332;2022-06-23 21:23:52+00:00;pt;"RT @Ferdeg2017: Prender o Milton Ribeiro é fácil, quero ver prender o Zé Dirceu, o Renan Calheiros, o Lula, o Paulinho da Força, o Sarney,…;;;";positivo;0.6874999999999996
100;36;7.427.955.916;2022-06-23 21:23:47+00:00;pt;@randolfeap @senadorgiordano Seu grau de idiotice beira a demência, CPI circense igual a da COVID, puramente teatral para seus eleitores asseclas e esquerdopatas, vocês são doentes, você ainda sofrerá o troco sendo alijado da vida pública , você é;negativo;0.2499999999999997
103;37;9.915.103.097;2022-06-23 21:23:45+00:00;pt;"@Felipin07_5316 @jotaplaystv ""por causa da vacina"" como se a culpa fosse da vacina e não da burrice dele;;;";positivo;0.75
110;38;2.697.697.886;2022-06-24 21:23:51+00:00;pt;"RT @carmelonetobr: URGENTE: Ipea aponta que o desempregou caiu para 9,4% em abril, o MENOR ÍNDICE dos últimos SETE ANOS. É isso mesmo que v…;;;";negativo;0.2499999999999997
111;39;2.932.344.685;2022-06-24 21:23:51+00:00;pt;"@guilhermeqdL @roque_mn Tem vacina de febre aftosa hj não, volta outro dia pf;;;";negativo;0.09999999999999992
115;40;4.614.809.768;2022-06-24 21:23:49+00:00;pt;"RT @carmelonetobr: URGENTE: Ipea aponta que o desempregou caiu para 9,4% em abril, o MENOR ÍNDICE dos últimos SETE ANOS. É isso mesmo que v…;;;";negativo;0.2499999999999997
122;41;7.087.687.344;2022-06-24 21:23:46+00:00;pt;"RT @carmelonetobr: URGENTE: Ipea aponta que o desempregou caiu para 9,4% em abril, o MENOR ÍNDICE dos últimos SETE ANOS. É isso mesmo que v…;;;";negativo;0.2499999999999997
123;42;861.253.478.637.355.000.000;2022-06-24 21:23:44+00:00;pt;"A CPI da COVID-19 foi um circo. A CPI do MEC e a das assinaturas falsa da Senadora. Será a CPI onde o palhaço pode terminar enforcado com a própria corda que teceu. Vamos aguardar o andar da carruagem. PR .cada vez mais forte toda vez que tentam destruir ele ressurge das cinzas. https://t.co/rbp8ZQFxG8;;;";negativo;0.2894736842105276
124;43;9.485.259.448;2022-06-24 21:23:43+00:00;pt;"RT @AmazoniaAzulBR: Guerra, pandemia, crise hídrica e mesmo assim conseguiu menor patamar de desemprego em 7 anos.;;;";positivo;0.75
129;44; - ; - ;pt;"Resultado é fruto dos esforços do Governo Federal no combate à p…"";;;";positivo;0.6458333333333333
133;45;261.257.415;2022-06-25 21:23:51+00:00;pt;"RT @renatobarrosbr: Os mesmos que estão dizendo que a decisão da Suprema Corte americana ""fere as liberdades individuais"", fizeram campanha…;;;";negativo;0.2499999999999997
135;46; - ; - ;pt;Pandemia e Guerra. 3 anos e 7 meses com Seca;positivo;0.7500000000000009
140;47;6.812.999.004;2022-06-25 21:23:44+00:00;pt;@CondutoideRay Krl Ray, não sabia que vc tinha passado por tanta merda assim, ano passado eu me senti muito desse jeito pois não tinha nenhuma sensação de pertencimento no grupo de amigos online que eu tinha e não tinha praticamente mais contato nenh;positivo;0.8440453686200375
143;48; - ; - ;pt;" A população ocupada em abril chegou a 97,8…"";;;";negativo;0.2499999999999997
144;49;1.116.246.333;2022-06-26 21:23:54+00:00;pt;"RT @gracieartsz: vc prefere esmalte preto, vermelho ou branco? pq cresci sendo aluna nota 10 que sempre se cobrou muito, mas dps da pandemi…;;;";positivo;0.75
145;50;91.491.229.543.339.800.000;2022-06-26 21:23:54+00:00;pt;"RT @schmittpaula: Desde de Março 2021 já se sabia q países europeus suspenderam a Astrazeneca por causa d coágulos. Bruno Graff morreu por…;;;";negativo;0.16666666666666688
146;51;1.474.432.483;2022-06-26 21:23:53+00:00;pt;"E a racista que começou a agredir verbalmente o enfermeiro no shopping recife na fila da vacina e todo mundo filmando e gritando quando vê o enfermeiro simplesmente tira a carteira de policial e a leva PRESA https://t.co/qr2xc49YFD;;;";negativo;0.3947368421052628
147;52;1.878.254.814;2022-06-26 21:23:53+00:00;pt;"RT @gracieartsz: vc prefere esmalte preto, vermelho ou branco? pq cresci sendo aluna nota 10 que sempre se cobrou muito, mas dps da pandemi…;;;";positivo;0.75
149;53; - ; - ;pt;não tem nada. Não adianta;negativo;0.2499999999999997
150;54; - ; - ;pt; maior crise financeira em 80 anos o Brasil segue crescendo. Mesmo o mundo passando por maior pandemia dos últimos 100 anos;positivo;0.8807189542483653
152;55;241.143.527;2022-06-26 21:23:52+00:00;pt;"RT @gracieartsz: vc prefere esmalte preto, vermelho ou branco? pq cresci sendo aluna nota 10 que sempre se cobrou muito, mas dps da pandemi…;;;";positivo;0.75
160;56;281.870.238.930;2022-06-27 21:23:52+00:00;pt;"RT @LumenaAleluia: a maior fake news da história foi que a pandemia nos tornaria pessoas melhores;;;";negativo;0.2940553515955944
162;57;441.146.975.869.409.000.000;2022-06-27 21:23:49+00:00;pt;"@eulucas_crf Fugiu da covid que ele não é bobo. É grupo de alto risco.;;;";negativo;0.0999999999999998
164;58; - ; - ;pt;"*Via @PlenoNews ;;;";positivo;0.6463414634146343
167;59; - ; - ;pt;"*Via @PlenoNews ;;;";positivo;0.6463414634146343
170;60;641.093.538.342.778.000.000;2022-06-27 21:23:47+00:00;pt;"@LumenaAleluia Com o desespero e suas próprias vidas em risco. Era mais que visto que a humanidade se tornaria pior depois de uma pandemia.;;;";positivo;0.8470550981633954
175;61;7.812.505.061;2022-06-27 21:23:46+00:00;pt;"@ClauCanuto @sincero_sg @schmittpaula Essa filha das trevas tinha que ser presa !! O remédio existe a 100anos.Não tem contra indicação nem pra criança .;;;";positivo;0.9166666666666673
176;62; - ; - ;pt;"Meu pai toma de 20 em 20 dias desde o início da Pandemia,  viajou ao lado de uma senhor que assim que chegou da viagem foi entubado por Covid e ele nada"";;;";negativo;0.11682242990654228
177;63;9.012.167.451;2022-06-27 21:23:45+00:00;pt;"a minha mãe quer me colocar pra fazer a crisma ano q vem... mas mano, como explicar pra ela q eu sou agnóstica (quase ateia) e já perdi a fé religiosa desde o começo da pandemia?? Queria falar p ela mas tenho receio de q ela n aceite(ela é bem religiosa ent é bem provável. Pqp;;;";positivo;0.9375000000000007
178;64;98.237.078.766;2022-06-27 21:23:44+00:00;pt;"RT @venecasagrande: Matheus França desceu do avião também e está fora do jogo Tolima x Flamengo. Ele testou positivo para COVID.;;;";negativo;0.2499999999999997
180;65;1.613.809.487;2022-06-28 21:23:53+00:00;pt;"RT @jairbolsonaro: - Se fosse pela saúde, não estariam na praia, no futebol ou passeando em Miami enquanto obrigavam você a ficar em casa,…;;;";positivo;0.6999999999999993
182;66; - ; - ;pt;"Análise da Fiocruz mostra que Nordeste lidera mortes; número total é o triplo em relação aos EUA;;";negativo;0.37195121951219495
186;67;42.109.428;2022-06-28 21:23:51+00:00;pt;"cara eu nunca tive infecção de urina, nem catapora e nem conjuntivite ((e n peguei covid;;;";negativo;0.2499999999999997
189;68;913.293.271.889;2022-06-28 21:23:47+00:00;pt;"@sthexs amiga mas independente de covid tem estudos sobre como a quarentena afetou a memória;;;";positivo;0.75
191;69;9.510.703.931;2022-06-28 21:23:47+00:00;pt;"RT @CarlosBolsonaro: Fábio Porchat: “fique em casa que a economia a gente vê depois” e use máscara. Vídeo de junho de 2020, em plena pandem…;;;";negativo;0.15247933884297524
196;70;7.108.154.133;2022-06-29 21:23:54+00:00;pt;"RT @salimmattarbr: A CPI do MEC se aprovada, vai acabar em pizza igual a CPI da Covid que apenas deu palanque para certos senadores já bem…;;;";positivo;0.6874999999999996
205;71;3.374.802.341;2022-06-29 21:23:51+00:00;pt;"RT @farias_leonidas: E Disse a atriz senadora que não se importou que a CPI da pandemia terminasse em PIZZA;;;";positivo;0.6874999999999996
208;72;4.656.177.691;2022-06-29 21:23:50+00:00;pt;"@falagbrlsns @anathaismatos Não conheço os atuais para julgar... mas lembrei agora do Ivan Grava que se demitiu no caso do Covid e o Bruno Mazziotti que hoje está fazendo milagre no Arsenal, eles devem fazer falta nesse DM;;;";positivo;0.9166666666666673
209;73;5.072.077.177;2022-06-29 21:23:49+00:00;pt;"RT @salimmattarbr: A CPI do MEC se aprovada, vai acabar em pizza igual a CPI da Covid que apenas deu palanque para certos senadores já bem…;;;";positivo;0.6874999999999996
220;74;891.243.916;2022-06-29 21:23:46+00:00;pt;"RT @OficialAdeodato: Pedro Guimarães é um dos integrantes do governo com os melhores resultados a frente de uma estatal.;;;";negativo;0.284090909090909
225;75; - ; - ;pt;"Mas agora injetar esse recurso infelizmente eleitoreiro, mas será um alento para quem só tem água para tomar como refeição."";;;";positivo;0.75
228;76; - ; - ;pt;"“Estou voltando do trabalho depois de terminar minha agenda!!! Estou tão orgulhoso de várias man…"";;;";positivo;0.6176470588235293
230;77;186.454.444;2022-07-02 21:23:54+00:00;pt;"Rapaz, foi só ver uns filmezinhos água com açúcar na Netflix e eu quase desidrato. O combo isolamento + COVID + remédios mil faz cada coisa que sei lá (com a voz do Tadeu de Pantanar!😜);;;";positivo;0.6428571428571421
231;78;2.311.678.385;2022-07-02 21:23:51+00:00;pt;"RT @isissuruagy: Glr descobriram uma variante mt letal do covid que age no cortex central do cerebro, os sintomas são gravíssimos e causam…;;;";positivo;0.7165749379152969
234;79;555.947.216;2022-07-03 21:23:54+00:00;pt;"@FredLAFernandes Tive uma forma leve de Covid há quase um mês (depois de quatro doses), a tosse seca passou rápido, persiste a fadiga, que parece não ter fim e leve congestão nasal.;;;";negativo;0.3643497757847532
236;80;2.612.225.716;2022-07-03 21:23:52+00:00;pt;"ontem fui no meu primeiro evento público municipal desde a pandemia e desde o carnaval de 2020. ;;;";negativo;0.12499999999999985
253;81; - ; - ;pt;"Fé em Jesus Cristo ✝️;;;";positivo;0.7291666666666666
257;82; - ; - ;pt;"💉 1ª dose foi em 2018;;;";negativo;0.23469387755101984
270;83;7.810.346.508;2022-07-04 21:23:46+00:00;pt;"RT @sideologica: Os grupo que mais morre de COVID são os homens mas o destaque da manchete são as mulheres.;;;";positivo;0.75
274;84;555.947.216;2022-07-03 21:23:54+00:00;pt;"@FredLAFernandes Tive uma forma leve de Covid há quase um mês (depois de quatro doses), a tosse seca passou rápido, persiste a fadiga, que parece não ter fim e leve congestão nasal.;;;";negativo;0.3643497757847532
276;85;2.612.225.716;2022-07-03 21:23:52+00:00;pt;"ontem fui no meu primeiro evento público municipal desde a pandemia e desde o carnaval de 2020. ;;;";negativo;0.12499999999999985
293;86; - ; - ;pt;"Fé em Jesus Cristo ✝️;;;";positivo;0.7291666666666666
297;87; - ; - ;pt;"💉 1ª dose foi em 2018;;;";negativo;0.23469387755101984
310;88;7.810.346.508;2022-07-04 21:23:46+00:00;pt;"RT @sideologica: Os grupo que mais morre de COVID são os homens mas o destaque da manchete são as mulheres.;;;";positivo;0.75
314;89;595.410.351;2022-07-05 21:23:54+00:00;pt;"RT @FlavioCadegiani: Uma pessoa voluntariamente compartilha um efeito que teve “coincidentemente” logo após a 4a dose de “vacina” para COVI…;;;";negativo;0.2674418604651165
315;90;1.012.703.193;2022-07-05 21:23:54+00:00;pt;@AndrelPaiva10 @pablomarcal As empresas dele foram multadas pq não cumpriu lockdown. Fez evento com mais de 2 mil pessoas em plena pandemia, eu estive ano passado no resort, não deixou tirar foto lacrou os celulares,  pq se tivesse vazado ia dar ruim pa;positivo;0.887755102040816
316;91;1.213.101.566;2022-07-05 21:23:54+00:00;pt;"RT @geovanneofc: Depois que me recuperei do COVID finalmente, mais uma arte pros senhores 🔥🔥 o que acharam? https://t.co/7DwTrrLf6P;;;";negativo;0.284090909090909
317;92;158.175.102;2022-07-05 21:23:53+00:00;pt;"RT @anabchamploni: Biroliro e sua trupe de comensais da morte, digo ministros, são um experimento do que acontece as pessoas se pegarem Cov…;;;";positivo;0.75
318;93;551.136.436.897.717.000.000;2022-07-05 21:23:50+00:00;pt;"Mano nunca aspirei e apliquei tanta vacina igual hj na moral tô vendo braço e ampola até agora;;;";positivo;0.7474226804123716
320;94;8.313.295.566;2022-07-05 21:23:48+00:00;pt;"@folha A ciência não mente, Mario Frias. Toma mais cloroquina ,negou a vacina encheu o rabo de cloroquina  se lascou .;;;";negativo;0.32142857142857145
321;95; - ; - ;pt;"Não precisa colocar oxigênio pra ele lá … esses gados ai  vivem   sem oxigênio ok https://t.co/T9PxKxIX2v"";;;";negativo;0.2499999999999997
330;96;2.528.699.135;2022-07-07 21:23:52+00:00;pt;"@iloveyouseI amg, vai sim, eu tava queimando em febre ontem e dei positivo p covid :(;;;";negativo;0.09999999999999992
333;97;5.113.859.669;2022-07-07 21:23:50+00:00;pt;"@ojedabtc porra ojeda vamos ser sinceros? não dá pra ficar quieto contra o lula e colocar ele e o bolsonaro como iguais, no mínimo a intenção do bolsonaro é melhor (privatizações, liberdade na pandemia etc);;;";negativo;0.26963350785340334
334;98;7.897.735.887;2022-07-07 21:23:47+00:00;pt;"@serialkrller eu tbm, antes da pandemia eu era feliz;;;";positivo;0.8230769230769229
335;99;2.528.699.135;2022-07-07 21:23:52+00:00;pt;"@iloveyouseI amg, vai sim, eu tava queimando em febre ontem e dei positivo p covid :(;;;";negativo;0.09999999999999992
338;100;5.013.859.669;2022-07-07 21:23:50+00:00;pt;"@ojedabtc porra ojeda vamos ser sinceros? não dá pra ficar quieto contra o lula e colocar ele e o bolsonaro como iguais, no mínimo a intenção do bolsonaro é melhor (privatizações, liberdade na pandemia etc);;;";negativo;0.26963350785340334
339;101;7.797.735.887;2022-07-07 21:23:47+00:00;pt;"@serialkrller eu tbm, antes da pandemia eu era feliz;;;";positivo;0.8230769230769229
342;102;4.814.023.113;2022-07-08 21:23:50+00:00;pt;"@Berg__s @levisback As falas dele durante a  serie "" isso é tudo culpa da midia""""jornalistazinho de merda""  Isso é fake news"" "" podem sair de casa, tá seguro "" (referência a pandemia).;;;";negativo;0.2940553515955944
343;103; - ; - ;pt;" Deus é nosso salvador"""";;;";positivo;0.6428571428571421
345;104; - ; - ;pt;"E só citei 5% das falas kkkk"";;;";positivo;0.9166666666666673
346;105;7.210.247.662;2022-07-08 21:23:47+00:00;pt;"RT @JornalBSM: A partir de nova atualização nos dados do SUS, o especialista em armazenamento de dados, Lorenzo Ridolfi, comprovou que pess…;;;";positivo;0.9722222222222205
348;106;9.899.935.401;2022-07-08 21:23:43+00:00;pt;"Quando eu penso que eu irei ficar boa das quedas de cabelo, aí vem o COVID e me tomba. 😭;;;";positivo;0.9166666666666673
351;107; - ; - ;pt;"O governo do Sri Lanka cortou 7 impostos e diminuiu o IVA de 15% para 8%, o turismo que praticamente sustentava o país teve forte queda devido a Covid e com as privatizações dos últimos 50 anos, o estado tem pouca fonte de arrecadação. https://t.co/xEsbjyvrnQ"";;;";negativo;0.25000000000000033
353;108;943.589.696;2022-07-09 21:23:41+00:00;pt;"meu deus, meu cérebro derreteu por causa da covid. Ele já era ruim, mas eu não consigo mais nem colocar as ideias em ordem, parece que eu to chapado de um jeito ruim;;;";positivo;0.736238532110093
354;109;301.541.163.729.705.000.000;2022-07-10 21:23:50+00:00;pt;"RT @hipersurf: António Costa; o país não está interessado nos casos e casinhos que eles inventam. Invenções; 107 mortos por incúria nos inc…;";positivo;0.6249999999999998
361;110; - ; - ;pt;"Fé em Jesus Cristo ✝️…"";;;";positivo;0.7291666666666666
366;111;1.790.723.571;2022-07-11 21:23:53+00:00;pt;"RT @leandroruschel: ""Jair Bolsonaro está com Covid-19. Torço para que o quadro se agrave e ele morra. Nada pessoal."";;;";negativo;0.0999999999999998
376;112; - ; - ;pt;"Fé em Jesus Cristo ✝️;;;";positivo;0.7291666666666666
378;113;6.724.587.233;2022-07-11 21:23:47+00:00;pt;"Ser seu próprio chefe é não querer se dar um dia de folga mesmo estando com COVID. Preciso de intermediação com leis trabalhistas.;;;";positivo;0.7500000000000009
382;114;8.521.935.674;2022-07-11 21:23:46+00:00;pt;"RT @leandroruschel: ""Jair Bolsonaro está com Covid-19. Torço para que o quadro se agrave e ele morra. Nada pessoal."";;;";negativo;0.0999999999999998
385;115;3.066.400.149;2022-07-12 21:23:51+00:00;pt;"E amiga da mamãe falando que fez teste do COVID porque queriansaber como era kkk ela disse que se arrependeu kkk;;;";positivo;0.736238532110092
390;116;3.134.438.217;2022-07-13 21:23:54+00:00;pt;"RT @farias_leonidas: Era mais importante defender a corrupção;;;";positivo;0.6079545454545449
393;117;1.312.548.358;2022-07-14 21:23:54+00:00;pt;"RT @alexlimareal: 💉 Covid: quando chegará nova geração de vacinas que protegem mais contra variantes;;;";positivo;0.7000000000000001
395;118;1.514.835.203;2022-07-14 21:23:53+00:00;pt;"Bozo Nunca quis o BOLSA FAMÍLIA, NÃO QUIS DAR O AUXÍLIO EMERGENCIAL NA PANDEMIA (qnd concordou quis dar 200 reais ) A OPOSIÇÃO Q LUTOU PELO POVO BRASILEIRO ,Q ESTAVAM NA  PANDEMIA ,SEM AUXÍLIO E VACINAS ⛔;;;";positivo;0.9126984126984133
396;119; - ; - ;pt;"🤔 AGORA ESSA #PECkamikaze ELEITOREIRA ! ELE NÃO VAI ENGANAR O POVO 🇧🇷😒 https://t.co/lX8wUyQZI7"";;;";negativo;0.2499999999999997
397;120;5.312.581.535;2022-07-14 21:23:48+00:00;pt;"minha tia inconsequente pegou covid em pleno 2022, isso so pode ser sacanagem n eh possível;;;";positivo;0.75
399;121;2.951.662.507.084.690.000;2022-07-15 21:23:54+00:00;pt;"@flpsgalo @leandro31082959 @SuperesportesMG @Cruzeiro A pandemia tava onde? Tem probleminha ou se faz de doido. Depois não quer que o Globo Rural fique zoando.;;;";positivo;0.7187500000000001
401;122; - ; - ;pt;"Quanto tempo para a Argentina chegar a este patamar?;;;";positivo;0.6999999999999993
402;123; - ; - ;pt;"Segundo Alberto Fernandez, tudo o q…"";;;";negativo;0.2499999999999997
403;124;631.243.398.475.334.000.000;2022-07-15 21:23:48+00:00;pt;"fiquei papo de 4 horas no posto pra tomar vacina da gripe e covid;;;";positivo;0.6874999999999996
404;125;9.313.767.023;2022-07-15 21:23:44+00:00;pt;"RT @LucianoHangBr: Como diziam os esquerdistas quando a Argentina tava fechando tudo na pandemia ""COMO É BOM TER PRESIDENTE"" o tempo é o se…;;;";positivo;0.6999999999999993
406;126;1.788.206.114;2022-07-16 21:23:52+00:00;pt;"RT @import_robs: Ontem fui no primeiro evento com muita gente - ao ar livre - desde o começo da pandemia em 2020.;;;";negativo;0.12499999999999985
409;127;4.015.134.875;2022-07-18 21:23:50+00:00;pt;"RT @depjesse: Socialismo na prática: a Argentina estendeu a data de validade de vacinas contra a covid-19, prorrogando o prazo por até 12 m…;;;";negativo;0.38235294117647034
413;128;1.810.079.377;2022-07-19 23:54:59+00:00;pt;"RT @jairbolsonaro: - Graças a essas medidas, bem como aquelas implementadas ainda em 2019, como a lei da liberdade econômica, o Brasil está…;;;";negativo;0.2499999999999997
415;129;2.614.211.044;2022-07-19 23:54:56+00:00;pt;@contagemcorona1 É o resultado de mais de um ano de declarações irresponsáveis contra a vacina vinda de ambos os lados, isto é, pro e anti-vax. A vacina é usada em 56 países mas ambos os lados usam a métrica ocidental da figura  para falar que ela;positivo;0.8023255813953484
416;130;3.494.885.593;2022-07-19 23:54:55+00:00;pt;"Sarah morreu em 2020 de Covid-19. Um importante filme de sua carreira chama-se Sambizanga. Lançado em 1972, conta a história de Maria, uma mulher que percorre uma cidade angolana em busca do marido Domingos, que foi preso pela polícia portuguesa após conflitos violentos.;;;";negativo;0.17587341443352503
418;131;971.443.777;2022-07-19 23:54:46+00:00;pt;"@barbrum_ Mas eu sei o motivo kkkk num é Covid não, fica tranquila 😂😂;;;";positivo;0.9000000000000002
420;132;6.525.192.228;2022-07-20 23:54:51+00:00;pt;"RT @PauloAl79251677: O PS tem desculpas para tudo…ou é a pandemia, a guerra, os incendiários, as pessoas etc…Mas o Passos Coelho não se pod…;;;";positivo;0.75
422;133;9.613.773.218;2022-07-20 23:54:47+00:00;pt;"@z4ljdb Imagina querer de volta o cara que deixou morreu 600 mil pessoas de Covid kkkk é o cúmulo. Deus falou pra ele não pegar as vacinas ?, que Deus é esse ?.;;;";negativo;0.08536585365853698
